city,temp_c,temp_f,feelslike_c,humidity,wind_kph,pressure_mb,cloud,uv,condition,temp_category,humidity_level,wind_level,cloud_level,timestamp,record_no,temp_change,trend,avg_temp,max_temp,min_temp,condition_count,most_common_condition,alerts
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:23:33,30,0.0,Stable,22.0,22.0,22.0,30,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:23:39,31,0.0,Stable,22.0,22.0,22.0,31,Clear,No alert
Dubai,22.2,71.96,24.6,60,34.2,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:23:46,32,0.2,Increasing,22.01,22.2,22.0,32,Clear,No alert
Dubai,22.2,71.96,24.6,60,34.2,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:23:52,33,0.0,Stable,22.01,22.2,22.0,33,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:23:58,34,-0.2,Decreasing,22.01,22.2,22.0,34,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:24:05,35,0.0,Stable,22.01,22.2,22.0,35,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:24:11,36,0.0,Stable,22.01,22.2,22.0,36,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:24:18,37,0.0,Stable,22.01,22.2,22.0,37,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:24:24,38,0.0,Stable,22.01,22.2,22.0,38,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:24:31,39,0.0,Stable,22.01,22.2,22.0,39,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:24:37,40,0.0,Stable,22.01,22.2,22.0,40,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:24:43,41,0.0,Stable,22.01,22.2,22.0,41,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:24:49,42,0.0,Stable,22.01,22.2,22.0,42,Clear,No alert
Ajman,22.0,71.6,24.6,59,32.8,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:24:57,43,0.0,Stable,22.01,22.2,22.0,43,Clear,No alert
